logP,M
0.10551558752997603,14.799304326506846
0.22685851318944839,14.800009193922817
0.24796163069544364,14.800131779560378
0.2848920863309352,15.107055569601826
0.3218225419664268,14.800560829291838
0.34292565947242204,14.698446993204158
0.4642685851318945,14.405222148160066
0.5434052757793765,14.699611556760981
0.6436450839328537,14.585177864098497
0.6700239808153478,14.304180936401039
0.712230215827338,14.30442610767616
0.7280575539568345,14.406754468629568
0.7333333333333333,14.30454869331372
0.8019184652278176,13.806544540725247
0.8282973621103117,14.100627485232263
0.8810551558752998,13.998697527600923
0.9232613908872903,13.909485829866458
1.0076738609112712,13.60326690724098
1.0762589928057555,13.411972019828227
1.0920863309352518,13.8082300932417
1.1237410071942446,13.412247837512737
1.1448441247002399,13.412370423150298
1.2239808153477219,13.00388443239019
1.5035971223021583,12.213176423717258
1.8201438848920861,11.409903387194397
2.1050359712230216,11.219865002566637
