DV,M
109.84382150917187,-16.339319112804212
126.14146645683252,-16.689573269383022
129.06165780130584,-16.34031738017923
148.76102881329896,-17.690594485433326
202.02951916934617,-17.53586304230588
213.3796212692481,-18.042225562529403
243.5607546238125,-18.657502495668435
292.7327488275271,-18.42972541910018
302.3922538702171,-18.91185413821987
312.4960686380141,-19.177117875870614
292.24947341336843,-19.321281454028064
368.81243180923707,-19.768505238035132
445.77240505321714,-19.50461842090165
437.7241190122013,-20.33583091416048
465.3604679298754,-20.300065403724567
532.0491272395651,-20.03583435646177
590.5752382991683,-20.723227501692463
544.7724428687111,-20.920556015591497
